DATE,TIME,MQ2,MQ3,MQ4,MQ6,MQ7,MQ135,TEMP,HUMI,Average,1323.456022,2604.59134,730.0798376,1375.630582,1506.522327,2269.31935,35.80933694,68.67997294
21/05/2025,23:10:54,1423,2830,774,1374,1645,2456,34.8,63.2,,,,,,,,,
21/05/2025,23:10:42,1424,2831,780,1375,1645,2450,34.8,63.3,,,,,,,,,
21/05/2025,23:10:31,1427,2845,790,1383,1647,2456,34.8,63.3,,,,,,,,,
21/05/2025,23:10:20,1431,2840,793,1381,1648,2457,34.8,63.3,,,,,,,,,
21/05/2025,23:10:09,1428,2840,790,1383,1645,2454,34.8,63.5,,,,,,,,,
21/05/2025,23:09:58,1431,2843,788,1380,1645,2453,34.8,63.6,,,,,,,,,
21/05/2025,23:09:47,1430,2850,799,1383,1648,2458,34.8,63.7,,,,,,,,,
21/05/2025,23:09:36,1433,2847,791,1387,1647,2457,34.8,63.7,,,,,,,,,
21/05/2025,23:09:26,1432,2846,794,1390,1645,2459,34.9,63.8,,,,,,,,,
21/05/2025,23:09:14,1435,2856,814,1395,1650,2469,34.9,64,,,,,,,,,
21/05/2025,23:09:02,1434,2859,807,1391,1651,2465,34.9,64.1,,,,,,,,,
21/05/2025,23:08:52,1440,2857,811,1391,1650,2467,34.9,64.2,,,,,,,,,
21/05/2025,23:08:41,1437,2861,810,1395,1649,2464,34.9,64.3,,,,,,,,,
21/05/2025,23:08:29,1441,2863,816,1389,1652,2471,34.9,64.4,,,,,,,,,
21/05/2025,23:08:18,1443,2869,821,1402,1653,2475,34.9,64.5,,,,,,,,,
21/05/2025,23:08:07,1445,2871,833,1400,1655,2474,34.9,64.6,,,,,,,,,
21/05/2025,23:07:55,1450,2877,833,1401,1655,2473,35,64.7,,,,,,,,,
21/05/2025,23:07:43,1457,2877,845,1400,1651,2479,34.9,64.7,,,,,,,,,
21/05/2025,23:07:32,1451,2882,841,1402,1656,2476,35,64.7,,,,,,,,,
21/05/2025,23:07:20,1447,2873,846,1399,1650,2468,35,64.8,,,,,,,,,
21/05/2025,23:07:10,1444,2868,846,1396,1646,2464,35,65,,,,,,,,,
21/05/2025,23:06:59,1447,2868,844,1393,1646,2459,35,65.1,,,,,,,,,
21/05/2025,23:06:48,1449,2866,836,1398,1644,2464,35,65.2,,,,,,,,,
21/05/2025,23:06:37,1443,2866,844,1386,1645,2453,35,65.2,,,,,,,,,
21/05/2025,23:06:26,1448,2869,849,1396,1645,2459,35.1,65.2,,,,,,,,,
21/05/2025,23:06:15,1441,2864,845,1387,1642,2453,35,65.2,,,,,,,,,
21/05/2025,23:06:04,1445,2863,852,1393,1640,2450,35.1,65.3,,,,,,,,,
21/05/2025,23:05:52,1444,2866,857,1392,1638,2449,35.1,65.4,,,,,,,,,
21/05/2025,23:05:40,1450,2874,858,1396,1643,2457,35.1,65.4,,,,,,,,,
21/05/2025,23:05:29,1445,2875,863,1395,1639,2446,35.1,65.5,,,,,,,,,
21/05/2025,23:05:19,1452,2878,874,1398,1642,2457,35.1,65.6,,,,,,,,,
21/05/2025,23:05:07,1455,2883,878,1401,1639,2457,35.1,65.8,,,,,,,,,
21/05/2025,23:04:56,1453,2878,878,1395,1636,2450,35.1,66,,,,,,,,,
21/05/2025,23:04:45,1447,2869,849,1411,1641,2449,35.1,66.2,,,,,,,,,
21/05/2025,23:04:32,1432,2838,861,1380,1610,2418,35.1,66.4,,,,,,,,,
21/05/2025,23:04:19,1430,2837,854,1380,1607,2415,35.1,66.4,,,,,,,,,
21/05/2025,23:04:09,1428,2832,844,1367,1603,2414,35.2,66.6,,,,,,,,,
21/05/2025,23:03:58,1426,2842,853,1378,1611,2412,35.2,66.6,,,,,,,,,
